,text,sentic_concept
4001,bidenflation crisis exasperated liberal policies favor illegal immigrants american citizens joebiden choosing feed 2 million illegal aliens americans proof democratsaredestroyingamerica,"['crisis', 'exasperate', 'liberal', 'policies', 'favor', 'illegal', 'immigrants', 'choose', 'alien', 'proof']"
4002,louisiana want stop detaining immigrants border dozens sheriffs make money jailing 10 000 suing biden,"['louisiana', NOT 'detain', 'immigrants', 'doze', 'money', 'jail', 'suing', 'bide']"
4003,iiba make car donation process free simple donor iiba committed mission advocate immigrants need help make vision come true please consider donating used car help spread word program,"['car', 'spread word', 'donation', 'process', 'free', 'simple', 'donor', 'committed', 'mission', 'advocate', 'immigrants', 'help', 'vision', 'true', 'consider', 'donate']"
4004,daughter immigrants benefited greatly civil rights movement successes black americans yes reparations california something pay facts immigrants reparations stop pandering foxnews,"['california', 'daughter', 'immigrants', 'benefit', 'civil', 'movement', 'success', 'yes', 'reparation', NOT 'pandering']"
4005,immigrants mexicans racism hamilton mixtape immigrants get job done via,"['hamilton', 'get job', 'immigrants', 'racism']"
4006,really dont care us immigrants thats dont care us,"[NOT 'care', 'immigrants']"
4007,understand better takes home abroad read full article immigrants nigerian home unitedstates canada europe,"['canada', 'understand better', 'home', 'full', 'immigrants']"
4008,part 2 article discuss cultural technical approach likely lead success working foreign born families immigrants wealthmanagement workvisa financialfreedom,"['foreign born', 'discuss', 'cultural', 'approach', 'lead', 'success', 'work', 'family', 'immigrants']"
4009,advocates warn immigrants new mexico stay away cannabis,"['new mexico', 'stay away', 'warn', 'immigrants', 'cannabis']"
4010,com shameonbidenadministration abounded family based categories visas bulletin waiting many many years enter us legally respect immigrationlaw front doors illegalundocumented immigrants came walls borders backdoors illegaly,"['abound', 'family', 'enter', 'legal', 'respect', 'doors', 'immigrants', 'wall', 'illegal']"
4011,always special thanks land immigrants immigrationmatters usa,"['usa', 'special', 'thank', 'land', 'immigrants']"
4012,thank elon actually hope commonsense free speech taken seriously elonmusktwitter free speech freedom speech first amendment townsquare freespeech freedom immigrants freedomofspeech,"['taken seriously', 'thank', 'hope', 'commonsense', 'free', 'speech', 'freedom', 'amendment', 'immigrants']"
4013,istandwithtrudeau liberals government leadership healthcare education climatecrisis immigrants humanrights democracy peace,"['liberal', 'govern', 'leadership', 'healthcare', 'education', 'immigrants', 'democracy', 'peace']"
4014,immigrants brand,['immigrants']
4015,anglo olim along jerusalem deputy mayor helping ukrainian refugees acclimatize life israel drawing experiences new immigrants,"['jerusalem', 'israel', 'depute', 'help', 'acclimate', 'immigrants']"
4016,streaming support standupcomedy asian immigrants proud show co wrote produced telling unique immigrant stories,"['stream', 'support', 'immigrants', 'proud', 'unique', 'immigrant']"
