,text,sentic_concept
2001,need help citizenship application well look simply send us dm email assist application process arborwayimmigration canada immigrant immigration immigratetocanada studyincanada workincanada citizenship,"['canada', 'help', 'citizenship', 'application', 'simple', 'assist', 'process', 'immigrant']"
2002,always argued country benefited immensely fact draw people world chairman alan greenspan immigrationattorney immigration immigrationlaw immigrationreform immigrationservices,"['country', 'argued', 'benefit', 'immense', 'draw', 'chairman']"
2003,pacific shore poem folded boat writing haiku poetry micropoetry poem immigration nostalgia,"['pacify', 'shore', 'poem', 'haiku', 'poetry', 'nostalgia']"
2004,message international students graduates simple said fraser want study hoping create pathways allow stay make lasting contribution beyond academic career canada immigration canadaimmigration,"['canada', NOT 'ternate', 'student', 'graduate', 'simple', 'fray', 'study', 'hope', 'create', 'pathway', 'lasting', 'contribution', 'academic']"
2005,one london borough become foreign country via voting elections immigration fraud,"['london', 'country', 'fraud']"
2006,latest week immigration joins tbrown discuss real courts real law act would reform immigration court system download listen full interview,"['latest', 'join', 'discuss', 'real', 'act', 'reform', 'full']"
2007,moving prayer pope francis grotto saint paul church immigration malta,"['france', 'malta', 'moving', 'prayer', 'pop', 'saint']"
2008,new south wales state sponsorship applicants outside australia nsw statesponsorship visa190 visa491 emigrate immigration migrationagent australia sydney,"['australia', 'sydney', 'wales', 'sponsorship', 'applicant']"
2009,make sure follow guys immigration law news advice opinion connection hr employment immigration,"['sure', 'follow', 'advice', 'employment']"
2010,mayor villaloboslaw speaks residents immigration,"['N', 'o', ' ', 'c', 'o', 'n', 'c', 'e', 'p', 't', 's', ' ', 'd', 'e', 't', 'e', 'c', 't', 'e', 'd']"
2011,client alert uscis announces new actions reduce backlogs expand premium processing provide relief work permit holders immigration read,"['permit holder', 'alert', 'announces', 'reduce', 'backlog', 'expand', 'premium', 'provide', 'relief', 'work']"
2012,panelist ira kurzban speaking eb 5 amp global immigration expo miami april 7 8 register industry wide person gathering today eb5 global immigration expo,"['person', 'panel', 'expo', 'register', 'industry', 'wide', 'gather']"
2013,video answer question naturalization cases getting unstuck share video uscis greencard immigrationnews immigrationlawyer immigrationattorney jqklawfirm johnkhosravi immigration usimmigration immigrationlaw,"['answer', 'naturalization', NOT 'stuck', 'share']"
2014,watch canada invites 919 pnp candidates apply 2022 express entry 2022 canada immigration explore youtube canada canadaimmigration pnp expressentry immigration,"['canada', 'apple', 'invite', 'express', 'explore']"
2015,panelist pearce cheng speaking eb 5 amp global immigration expo miami april 7 8 register industry wide person gathering today uglobal citizenshipbyinvestment eb5 global immigration expo,"['person', 'panel', 'cheng', 'expo', 'register', 'industry', 'wide', 'gather']"
2016,criminal conviction matter old keep entering united states watch michael rourke latest video answers contact need assistance immigration law usa lawyer pacelawfirm,"['usa', 'crime', 'conviction', 'old', 'entering', 'latest', 'answer', 'assistance']"
2017,hallelujah biden administration ending controversial pandemic border policy started trump via usmexico title42 immigration immigrationreform,"['bide', 'administration', 'controversial', 'pandemic', 'policy']"
2018,congratulations order sandy obtaining notary adding value integrity organization exceeding goals congratulation sandy sisepuede daca immigration inmigrantes linkinmybio immigrants,"['congratulations', 'add', 'value', 'integrity', 'organization', 'exceeding', 'goals', 'congratulation', 'dacer', 'immigrants']"
2019,announced terminating title 42 border policy may 23 u govt used controversial immigration public health policy turn away asylum seekers migrants 1 7 million times since march 2020,"['asylum seeker', 'announced', 'policy', 'controversial', 'health', 'turn']"
2020,new banners bronx bruckner deegan rfk bridge decolonize world respect migrants borders decolonize uprootthesystem climate climatechange climateaction streetart guerillaart extinctionrebellion immigration noborders,"['ban', NOT 'egan', NOT 'colonize', 'respect']"
2021,plans yet populate north cdnpoli canada immigration,"['canada', 'plane', 'populate']"
2022,biden administration confirmed past friday may 23rd 2022 end title 42 health policy adopted president donald trump stop spread covid 19 covid19 joebiden immigration immigrants immigrant immigrantsmakeamericagreat,"['bide', 'administration', 'confirmed', 'health', 'policy', NOT 'spread', 'covid', 'immigrants', 'immigrant']"
